id,value
id_0,25.415141495388568
id_1,64.19664449048035
id_2,20.567869319547988
id_3,27.586068257452173
id_4,8.922281337632699
id_5,34.048869456989884
id_6,40.3066486452058
id_7,16.186041112880034
id_8,50.28598431891021
id_9,32.77319540805703
id_10,38.374021632733566
id_11,59.17108310164486
id_12,33.3865927224087
id_13,39.4285484357234
id_14,26.629041347972993
id_15,14.570991912749488
id_16,52.335554520933
id_17,22.461185449660704
id_18,17.239946894219948
id_19,18.521823980981765
id_20,15.200304185864086
id_21,29.840357352832957
id_22,38.63584081003141
id_23,9.384769328913459
id_24,60.923512744762974
id_25,44.50221873680265
id_26,27.455019433362782
id_27,8.015540277562025
id_28,29.87555859409769
id_29,36.127850664609625
id_30,17.351285843139042
id_31,11.103866038729619
id_32,16.35534209255222
id_33,5.28298184575743
id_34,17.148218420469917
id_35,41.77913299630774
id_36,17.895408322310686
id_37,26.958216273725647
id_38,10.630039600234575
id_39,61.17988228932937
id_40,46.75055222839528
id_41,18.63107744272029
id_42,51.52593631931114
id_43,18.442792207814428
id_44,44.72115183892326
id_45,52.071607736720296
id_46,59.550155677974374
id_47,41.91097404573972
id_48,51.201961818946245
id_49,38.630641158552564
id_50,29.27690359828719
id_51,24.079578649843484
id_52,39.61074527552557
id_53,24.66146746093283
id_54,38.77454511474167
id_55,41.42222305771017
id_56,24.838014775860323
id_57,23.168635720138326
id_58,36.85538012395362
id_59,32.0768384763379
id_60,14.855700102323341
id_61,23.066559335734986
id_62,33.44209122151965
id_63,55.810941211515356
id_64,50.843654847376456
id_65,26.81129951552221
id_66,38.508029428404924
id_67,53.10223551413421
id_68,28.113002147616463
id_69,37.312255052034
id_70,64.13785636474235
id_71,53.373022349526224
id_72,42.68397316319913
id_73,11.513906438431638
id_74,11.382163580823088
id_75,35.00030894941263
id_76,62.4928848023189
id_77,1.743272223818951
id_78,42.49777605125114
id_79,39.23626654780844
id_80,8.472831744482145
id_81,21.518390407875533
id_82,7.6425074172115774
id_83,34.031789529533114
id_84,7.976833234804986
id_85,7.5170171103017855
id_86,16.72355543451752
id_87,11.908243821528021
id_88,16.77266794274302
id_89,27.352499327694865
id_90,32.12757290265111
id_91,11.099739702864781
id_92,14.01737129777907
id_93,5.973863620930149
id_94,39.986969149452776
id_95,16.00276464572005
id_96,17.2003172086978
id_97,8.568068752057501
id_98,12.500277646752991
id_99,5.377252477263301
id_100,11.551823924211376
id_101,20.549963332210055
id_102,12.322326724782092
id_103,8.1866055621878
id_104,14.305346423915159
id_105,37.14977204687213
id_106,26.054662866618457
id_107,8.196253819848177
id_108,17.174648788022644
id_109,16.481512476203406
id_110,13.532672530659664
id_111,17.476624176504124
id_112,14.731531305759349
id_113,28.299139987282494
id_114,21.43371238417373
id_115,16.18563192134441
id_116,7.187337827430753
id_117,44.97050706453367
id_118,26.87847005965108
id_119,1.2916232690475091
id_120,1.677948544508838
id_121,10.314078304337016
id_122,15.219026539374676
id_123,13.981494161068497
id_124,7.631104355824883
id_125,26.748537581435322
id_126,18.853803518781056
id_127,12.211583912820275
id_128,19.60363601952521
id_129,17.681680370382672
id_130,3.6388593293730005
id_131,35.0954120747208
id_132,14.737777269904011
id_133,26.506657790964805
id_134,24.060206992977466
id_135,21.852734637896305
id_136,10.505889901624073
id_137,20.262540221700384
id_138,75.91644909752905
id_139,62.217344542824556
id_140,28.682870602019392
id_141,18.158840120101853
id_142,24.64924881449205
id_143,7.760196599479552
id_144,12.234623901204536
id_145,10.664486552729535
id_146,18.943139023703896
id_147,8.464790805352742
id_148,15.25196057803862
id_149,15.998669300041232
id_150,46.59284438181209
id_151,22.756900112593193
id_152,24.076986684511
id_153,13.77944852550311
id_154,16.031863800813376
id_155,25.787756208246023
id_156,26.561015153909203
id_157,35.471992037712575
id_158,3.979375830784692
id_159,23.403130149106477
id_160,41.640655858657816
id_161,19.810624729783267
id_162,58.57588018430732
id_163,18.52014915303754
id_164,35.187376396742536
id_165,24.97495053188147
id_166,19.418003675834832
id_167,0.5757149956196845
id_168,65.82995629266514
id_169,15.725302149740717
id_170,17.620354511953785
id_171,70.21486559336877
id_172,19.183802463266204
id_173,1.761924508716076
id_174,25.69874150824817
id_175,2.016947910063715
id_176,7.991160851759307
id_177,18.43288104024343
id_178,20.440579649628937
id_179,24.29888830521926
id_180,44.0966636410442
id_181,27.484575472326636
id_182,28.146055296908962
id_183,12.253062319295413
id_184,7.092684815809344
id_185,41.23515257343979
id_186,36.40606866011491
id_187,34.40035976200751
id_188,16.172455021176937
id_189,20.546208229416166
id_190,14.8599029960833
id_191,15.79754609176195
id_192,32.72280538346657
id_193,75.35076450090213
id_194,29.28602745308688
id_195,11.71412809263317
id_196,64.86409955054137
id_197,16.278009393932336
id_198,18.52792762128504
id_199,20.54433348647802
id_200,127.51595400992099
id_201,25.100549118480487
id_202,58.729881984689456
id_203,6.806094357491787
id_204,61.812498873845044
id_205,34.79024744083506
id_206,15.715973285472874
id_207,13.413515300410308
id_208,65.12744923865007
id_209,15.240585579645076
id_210,29.99141924283645
id_211,70.05155026073255
id_212,20.79945375095587
id_213,116.9567811645506
id_214,39.11036174873139
